名称,,名称のルビ,郵便番号,カテゴリ,住所,緯度,経度,電話番号,説明文,営業時間,定休日,URL,バリアフリー対応,wikidata-link
香りの家オランダ館(旧ヴォルヒン邸、伝統的建造物),,,'6500002,'2401,神戸市中央区北野町2-15-10,34.702201,135.190651,078-261-3330,北野のオランダ坂を登ると、1920年代のノスタルジックな雰囲気のオランダ館が見えてきます。オランダ館は大正中期の寄棟造り。(神戸市教育委員会指定No.48伝統的保存建造物)長い間オランダ総領事邸として使用され、1987年1月より一般公開されました。オランダのヴォーレンダム地方の民族衣装を着て記念撮影も出来ます。また、年齢や星座、好きな音楽・花・果物などのデータからあなたの個性にあったオリジナル香水が作れるので思い出づくりにぜひ訪れてください。,9:00～18:00 / 【冬季営業期間】1月～2月 10:00～17:00,なし,http://www.orandakan.shop-site.jp/,なし,
デンマーク館(旧ヨハン・フラウベルト邸),,,'6500002,'2401,神戸市中央区北野町2-15-12,34.702354,135.190549,078-261-3591,バイキング、アンデルセンなどのデンマークの歴史と文化を紹介するミュージアムとして、デンマーク王国大使館、デンマーク通商事務所の後援を受けオープンしたテーマ館。8～11世紀にスカンジナビア周辺から世界の海を巡ったバイキング船の大きな模型が展示されていたり、世界的童話作家アンデルセンの書斎が再現されていたり、見どころもたっぷり。メイドinデンマークのかわいいグッズはお土産におすすめです。,9:00～18:00 / 【冬季営業期間】1月～2月 10:00～17:00,なし,http://www.orandakan.shop-site.jp/,なし,
ウィーン・オーストリアの家(旧W.クンツェ邸),,,'6500002,'2401,神戸市中央区北野町2-15-18,34.702409,135.190794,078-261-3466,平成4年、オーストリア大使館、オーストリア通商代表部の後援で、オーストリアの文化や歴史に触れられるミュージアムとして開設。ウィーンの博物館風といわれる円筒形の建物に、女帝マリア・テレジアの肖像やロココ調の衣装などを展示し、宮廷文化の様子がしのばれます。また、オーストリアが生んだ偉大な音楽家モーツアルトを紹介し、彼が生きた18世紀の生活や風景を再現。作曲に使われたピアノの複製品(フォルテ・ピアノ)、直筆の楽譜や手紙など、ザルツブルグのモーツアルトミュージアムから寄贈された品々もみどころです。,9:00～18:00 / 【冬季営業期間】1月～2月 10:00～17:00,なし,http://www.orandakan.shop-site.jp/,なし,
竹中大工道具館,,たけなかだいくどうぐかん,'6510056,'2401,神戸市中央区熊内町7-5-1,34.706863,135.197532,078-242-0216,竹中大工道具館は日本で唯一の大工道具の専門博物館です。「人と自然をつなぐ、伝統と革新をつなぐ」をテーマに、2014年10月、新神戸駅前への移転、オープンしました。これまで収集した3万点余りの中から選りすぐった約1千点の大工道具のほか、吹き抜け空間に7メートルを超える高さでそびえたつ原寸大の唐招提寺金堂の柱と組み物、数寄屋の繊細な仕事が見えるスケルトン茶室など、現代の匠たちの手によって最高の職人技を詰め込んだ特別な模型を展示しています。また、「宮大工がいる博物館」というユニークな特色を生かし、新たに設けた木工室ではプロの技を間近に体感できるプログラムもご用意しています。,火～日　9:30～16:30（入館は16:00まで）,月(祝日の場合は翌日),http://dougukan.jp,,
風見鶏の館,,かざみどりのやかた,'6500002,'2401,神戸市中央区北野町3-13-3,34.701396,135.189475,078-242-3223,風見鶏の館(旧トーマス住宅)は、明治42年(1909年)頃にドイツ人貿易商ゴッドフリート・トーマス氏の自邸として建てられました。建物の設計に当ったのは、ドイツ人の建築家ゲオルグ・デ・ラランデ。レンガの外壁と尖塔の風見鶏は、北野異人館のシンボルとして人々に愛されています。昭和58年12月より昭和60年3月にかけて本格的な保存修理を行い、復原できる箇所は可能な限り元の姿に戻しています。現在は国の重要文化財に指定されています。,9:00～18:00（入館は17:45まで）,6月・2月の第1火(祝日の場合は翌日休),http://www.kobe-kazamidori.com/kazamidori/,,
ラインの館 ※工事のため休館中,,,'6500002,'2401,神戸市中央区北野町2-10-24,34.701126,135.191206,078-222-3403,大正4年(1915年)に建築されたラインの館。木造2階建下見板張りオイルペンキ塗りの建物は、開放されたベランダやベイ・ウィンドなど、明治時代のいわゆる異人館の様式をそのまま受け継いでいます。昭和53年の一般公開の際に愛称を公募した結果「ラインの館」となりました。1階に休憩室・展示室・土産物コーナーを設置し、2階では北野異人館街の歴史や震災関係の展示を行っています。,9:00～18:00,メンテナンスのため休館中です。H.284.1～全面休館。工事期間はH28～H30年を予定しております。,,,
うろこの家・うろこ美術館,,,'6500002,'2401,神戸市中央区北野町2-20-4,34.702959,135.190666,0120-888-581,神戸で最初に公開された神戸のシンボル的な異人館。外国人の高級借家で、外壁を飾る天然石のスレートが魚の鱗に見えることから「うろこの家」と呼ばれています。館内の随所にも意匠が凝らされ、重厚なアンティーク家具や調度品、古マイセンをはじめとする西洋の名磁器コレクションは必見。 また「うろこ美術館」では、ユトリロ、マチス等、自然主義から現在に至る西洋名画コレクションや、神戸を代表する安井賞作家・堀江優画伯の作品を常設展示。3階展望室からは神戸の街と港が一望できます。,4月～9月　9:30～18:00 / 10～3月 9:30～17:00,年中無休,http://kobe-ijinkan.net/,なし,http://www.wikidata.org/entity/Q11263124
異人館 パラスティン邸,,,'6500002,'2401,神戸市中央区北野町2-10-12,34.700932,135.190592,078-241-1132,ロシア人貿易商が居住していた異人館パラスティン邸は、大正初期に建てられた伝統的建造物です。テラス・館内共にペット同伴可能なことが口コミで広がり、今では全国各地から愛犬連れのお客様が訪れています。 ホームメイドケーキ、白パンサンドイッチ、仔牛の赤ワイン煮の他、シチューランチや復刻メニューなどのお食事メニューも充実。おいしいグルメを満喫しながら、異人館でのノスタルジックなひとときをお楽しみください。,11:00～18:00,火(祝日の場合は翌日),http://www.ijinkan.net/,なし,
萌黄の館,,もえぎのやかた,'6520002,'2401,神戸市中央区北野町3-10-11,34.700979,135.189256,078-222-3310,萌黄の館は、明治36年(1903)にアメリカ総領事の邸宅として建築され、昭和55年(1980)に国の重要文化財に指定されました。木造2階建て、下見板張りの異人館で、2つの異なった形のベイ・ウィンドー(張り出し窓)が特徴です。アラベスク風模様が施された階段・重厚なマントルピースなど贅沢な意匠が随所にみられ、2階のベランダからは神戸港まで見渡せる素晴らしい眺望が広がっています。<br><br>◆障がい者の方（下記の手帳をお持ちください）<br>　①身体障害者手帳、精神障害者保健福祉手帳、療育手帳、特定疾患医療受給者証、先天性血液凝固因子障害医療受給者証、小児慢性特定疾患承認書をお持ちの方：無料<br>　②身体障害者手帳(1級又は2級)、精神障害者保健福祉手帳(1級)、療育手帳をお持ちの方の介護人（原則1名)：無料<br><br>◆【すこやかカード】（神戸市老人福祉手帳）をお持ちの方：無料<br><br>◆シティー・ループ１日乗車券持参の方：280円,9:00～18:00,２月の第３水曜日・第３木曜日,http://www.city.kobe.lg.jp/culture/culture/institution/foreigner/sub3.html,,
山手八番館,,,'6500002,'2401,神戸市中央区北野町2-20-7,34.702787,135.190621,0120-888-581,山手八番館は、チューダー様式の三連式塔屋が特徴的の明治後期の異人館です。ピカソに影響を与えたアフリカのマコンデ彫刻、ロダン・ブールデル等の近代彫刻、レンブラントらの古典版画は見もの。他にも入口のステンドグラスや、願いが叶うといわれる“サターンの椅子”など、見どころの多い人気の館です。ぜひ一度訪れてみてください。,4月～9月　9:30～18:00 / 10～3月　9:30～17:00,年中無休,http://kobe-ijinkan.net,なし,http://www.wikidata.org/entity/Q11468702
北野外国人倶楽部,,,'6500002,'2401,神戸市中央区北野町2-18-2,34.703134,135.191493,0120-888-581,北野外国人倶楽部は、神戸港開港当時の社交倶楽部を再現した異人館です。館内にはブルボン王朝時代の木彫り暖炉、豪奢な1階バーカウンター、薪炭時代のオールドキッチンなどがあり、庭には19世紀の馬車、珍しい横穴式井戸と見所もたくさん。9館券(ツアーブック)をお持ちの方のみ、庭のミニチャペルにてドレスを着て記念撮影ができるうれしいサービスもあります。,4月～9月　9:30～18:00 / 10～3月　9:30～17:00,年中無休,http://kobe-ijinkan.net,,
坂の上の異人館(旧中国領事館),,,'6500002,'2401,神戸市中央区北野町2-18-2,34.703165,135.191593,0120-888-581,1940年、中国の政治家・王兆銘が南京に親日政府を樹立した一時期、中国領事館として使用されていた異人館です。数ある公開異人館の中でも唯一ここだけが、オリエンタルムードに浸れる東洋的異人館。館内の家具調度品・美術品は中国のもので統一され、当時の様子がしのばれます。西周時代の銅鐸や宋時代の青磁や焼きものに加え、紫檀に精微な装飾を施したサロン・セットなど、贅を極めた装飾は必見です。,4月～9月　9:30～18:00 / 10～3月　9:30～17:00,年中無休,http://kobe-ijinkan.net,なし,
ベンの家,,,'6500002,'2401,神戸市中央区北野町2-3-21,34.700929,135.191534,0120-888-581,英国の貴族であった冒険家ベン・アリソン氏の旧邸。数ある異人館の中でも建築の古さは屈指です。館内には、住人であったベン・アリソン氏が世界中を旅して集めた猛獣・珍獣・貴重な動物の剥製がズラリ。アメリカの国鳥に指定されている「白頭鷲」の雄姿、鯨の仲間「イッカク」の長大な歯、銀白色の特異な巨体の「ヌー」など迫力に満ち、なかでも巨大なポーラーベアーは圧巻です。,4月～9月　9:30～18:00 / 10～3月　9:30～17:00,年中無休,http://kobe-ijinkan.net,なし,
洋館長屋(仏蘭西館),,,'6500002,'2401,神戸市中央区北野町2-3-18,34.700862,135.191391,0120-888-581,元・外国人向けのアパートだった仏蘭西館は、2軒の洋館が左右対称に配置された風変りな異人館。館内はアールヌーヴォー調の家具や調度品など、フランス関係の展示物で統一されています。アールヌーヴォーの花形作家エミールガレ、ドーム兄弟のガラス工芸は特に質が高いので要チェック。バッグの人気ブランド“ルイ・ヴィトン”草創期の古いトランクは、古き良き時代の船旅を彷彿とさせます。,4月～9月　9:30～18:00 / 10～3月　9:30～17:00,年中無休,http://kobe-ijinkan.net,なし,
英国館,,,'6500002,'2401,神戸市中央区北野町2-3-16,34.700782,135.191203,0120-888-581,イギリス人による設計でイギリス人が住み続けた英国館(イングランド館)は、建築当時のまま保存されている、西部劇でもおなじみの典型的なコロニアル様式の洋館です。2階には小説に『シャーロックホームズの部屋』がロンドンに在るが如く忠実に再現されています。インバネスケープとディアストーカーでホームズに変身して館内をご自由に散策できます。17世紀バロック時代、19世紀ヴィクトリア時代の格調高い豪華な家具調度品が揃い、高級感あふれるバーカウンターには世界の名酒が1000種類も収められています。夜にはBAR「king of king's(キングオブキングス)」に変身。ゴージャスなムードの中で香り高い名酒を味わえ、ゆとりのある大人のひと時を楽しめます。,4月～9月　9:30～18:00 / 10～3月　9:30～17:00,年中無休,http://kobe-ijinkan.net,,
神戸トリックアート不思議な領事館,,,'6500002,'2401,神戸市中央区北野町2-10-7,34.700915,135.190861,0120-888-581,アミューズメント性のある「体験型」の異人館。神戸ビーフが！神戸スイーツが！トリックアートに大変身！子供から大人まで世代に関係なく絵画を見て・触って・撮って楽しめます。面白いお写真で神戸の想い出作りはいかがですか？カメラの準備をお忘れなく。,4月～9月　9:30～18:00 / 10～3月　9:30～17:00,年中無休,http://kobe-ijinkan.net,あり,
イタリア館(プラトン装飾美術館),,,'6500002,'2401,神戸市中央区北野町1-6-15,34.702431,135.192079,078-271-3346,イタリア館(プラトン装飾美術館)はイタリアを中心としたヨーロッパの18～19世紀の家具調度品、絵画彫刻等が展示されている異人館です。現在も実際に人が住んでいる異人館で、邸内の各部屋にミレー、コローなどの絵画や美術品が詰まったゴージャスな私邸です。 プールのある南庭では飲み物やランチが注文でき、特にマンマの手造りケーキや週末限定ランチは人気メニューです。,9:30～17:00,年中無休,,なし,
神戸北野美術館,,,'6500002,'2401,神戸市中央区北野町2-9-6,34.701254,135.191516,078-251-0581,神戸北野美術館は、歴史的建造物である明治31年(1898年)築の旧アメリカ領事館官舎を館施設としています。 1898年に建設された異人館で、戦後は1978年までアメリカ領事館官舎として使用されました。1995年の阪神・淡路大震災の翌年から神戸北野美術館として開館しています。 絵本作家永田萌の原画作品の常設展示をリニューアルし、2011年 4月より「モンマルトルの丘の画家たち ～神戸北野異人館街・パリ市モンマルトル地区　友好交流展～」を開催しています。 神戸北野異人館街の文化や歴史を紹介すると共に、その魅力を発信する美術館です。,9:30～17:30(入館17時まで),不定休(要・問合せ),,なし,
北野工房のまち,,,'6500004,'2401,神戸市中央区中山手通3-17-1 北野工房のまち,34.695563,135.18722,078-221-6868,トアロードに面して建つ「旧北野小学校」のレトロでモダンな校舎を活用した人気スポット。個性あふれる21の工房では、スイーツや神戸牛・コロッケ、日本酒など神戸ブランドのお買い物のほか、いろいろなクラフト体験も楽しめます。北野異人館や旧居留地・南京町にも徒歩圏内で、神戸観光の拠点としてもご利用下さい。,9:30～18:00,不定休、年末年始（12月27日～1月2日）,http://kitanokoubou.jp,車イス、オストメイト、ベビーベット対応トイレ、車イス貸出,http://www.wikidata.org/entity/Q17211142
SPACE11 DARVISH MUSEUM,,,'6500003,'2401,神戸市中央区山本通1-7-16 ダルビッシュ コート 3階,34.698886,135.191201,078-291-4515,大阪羽曳野の少年野球チームから、春夏の甲子園出場した東北高校、NPB北海道日本ハムファイターズ、そしてMLBテキサス・レンジャーズへ。日米で数々のタイトルを獲得し、進化を続けるダルビッシュ有のミュージアムが、神戸の北野にオープン!挑戦の軌跡を紹介するヒストリーゾーンをはじめ、レンジャーズのロッカールームを再現したコーナーや、WBC優勝シーンとレンジャーズでの投球シーンを再現した4Dリアルフィギュア、ダルビッシュ有と対戦するCGゲームなど、さまざまな角度から、ダルビッシュ有の魅力を体験できる。,10:00-18:00（最終受付時間17：30）,年末年始(水曜日),http://www.darvish-museum-space11.com,有り,
花と緑のまち推進センター,,,'6500006,'2401,神戸市中央区諏訪山町2-8（諏訪山公園内）,34.69461,135.179416,078-351-6756,神戸市の目指す花と緑に囲まれたまちづくりのコアとなるセンターです。花と緑に関する、イベントや展示・講習会や養成講座・コンクール・園芸相談・花壇管理・情報発信などあらゆることに携わっています。　大型イベント：花のフェスタこうべ、グリーンフェスタこうべ、花ハート神戸オープンガーデン、神戸菊花展　コンクール：花の絵コンクール、神戸まちなみ緑花コンクール、市民花壇コンクール、菊花展フォトコンテスト,9:00～17:00,月曜日（市民トイレは利用可）、12月29日～1月3日は全園閉園,http://www.kobe-park.or.jp/hanamidori/,ユニバーサルトイレ有り、2階講習室へは階段のみなので講習会へ参加される場合事前にお伝えいただき対応する。,
神戸ドールミュージアム,,,'6500021,'2402,神戸市中央区三宮町3-1-17,34.689377,135.190595,078-327-4680,神戸ドールミュージアムは、19世紀フランスの香りをただよわせる「アンティークビスクドール」と「オートマター(機会仕掛人形)」を中心にコレクションする、日本でも数少ないドールミュージアムです。西洋人形の歴史や文化などの情報も発信し、様々な角度からお人形をご覧いただけます。心ときめくアンティークドールとの出会いに、ぜひ訪れてください!,10:00～19:00（ミュージアム入館18時まで),水(祝日の場合は開館・翌日休み・年末年始),http://www.timeroman.com/,,http://www.wikidata.org/entity/Q11589757
神戸市役所1号館24階展望ロビー,,,'6508570,'2402,神戸市中央区加納町6-5-1,34.689486,135.195739,078-331-8181,フラワーロードに面した、「神戸市役所1号館」内にある無料展望スポット。南の海側からはポートアイランドやメリケンパークの景色が、北の山側からは北野町や六甲山系の景色が楽しめます。 海側ロビーには休憩スペースが設けられ、神戸の観光や国際交流に関するパネルなどを展示。同じフロアには、喫茶店とレストランもあります。,平日　8:15～22:00 / 土・日・祝　10:00～22:00,12月29日～1月3日は休み、設備点検日年1日,,,
神戸市危機管理センター防災展示室,,,'6500033,'2402,神戸市中央区江戸町97-1（神戸市役所4号館1階）,34.689764,135.194547,,,,,http://www.city.kobe.lg.jp/safety/prevention/preparation/cmc/,,
神戸市立相楽園,,こうべしりつそうらくえん,'6500004,'2403,神戸市中央区中山手通5-3-1,34.692394,135.182691,078-351-5155,相楽園は、小寺泰次郎氏の本邸に営まれた庭園で、明治18年頃から築造に着手し、明治末期に完成したものです。昭和16年から神戸市の所有となり、一般に公開されるようになりました。飛石や石橋を渡る池泉回遊式(ちせんかいゆうしき)の日本庭園は、まさに深山幽谷の景。蘇鉄園や樹齢500余年の大クスノキ、春に咲き乱れるツツジと秋の紅葉も見事です。重厚な正門と欧風建築が印象的な旧小寺家厩舎、船屋形、旧ハッサム住宅(いずれも重要文化財)のほか、茶室が庭園の景観と調和しています。,金～水　9:00～17:00　(最終入園時間は16:30),木(祝祭日開園、翌日休園),http://www.sorakuen.com/,,
KOBEとんぼ玉ミュージアム,,こうべとんぼだまみゅーじあむ,'6500034,'2404,神戸市中央区京町79,34.688577,135.193739,078-393-8500,KOBEとんぼ玉ミュージアムは、穴の開いたガラス玉「とんぼ玉」を中心に、古代～現代のランプワーク技法によるガラス工芸を展示するミュージアムです。作家やスタッフのデモンストレーション、ランプワーク技法によるとんぼ玉制作など体験メニューも充実で、思い出に残るお土産にもぴったり。「観る」「学ぶ」「創る」「買う」の楽しさに満ちあふれた、体験観光型ミュージアムです。,10:00～19:00,なし,http://www.lampwork-museum.com/,,
神戸市立博物館,,こうべしりつはくぶつかん,'6500034,'2404,神戸市中央区京町24,34.687271,135.192884,078-391-0035,昭和10年に建築された“旧横浜正金銀行”の建物を増改築し、昭和57年に開館。「国際文化交流、東西文化の接触と変容」を基本テーマに、国宝の「桜ヶ丘出土銅鐸・銅戈」、考古・歴史資料、南蛮・紅毛美術資料、古地図資料、ガラス関係資料など約7万点を収蔵しています。常設展では、神戸に焦点をあてながら、日本と外国との文化交流のようすを6つのテーマで展示。館蔵品を主体とした企画展や、基本テーマにそった特別展も実施しています。,9:30 - 17:30（土曜日は19:00）（入館は閉館の30分前まで）,月(祝祭日は開館、翌日休館)、年末年始は休館。<br/>その他、臨時休館日等、詳しくはお問い合わせください。,http://www.city.kobe.lg.jp,対応しています。,
兵庫県公館,,,'6508567,'2405,神戸市中央区下山手通4-4-1,34.690965,135.184591,078-362-3823,フランス・ルネサンス様式を持つこの建物は、建築家 山口半六の設計で、1902(明治35)年、4代目の県本庁舎として誕生しました。戦災により外壁を残して焼失しましたが、戦後2度の修復により明治の面影を色濃く残しながらも、現在は迎賓館と県政資料館の機能を併せ持つ兵庫県公館として、100年以上にわたる兵庫県の歴史を見つめています。,【県政資料館】月～金 9:00～17:00 / 土 10:00～16:00  【迎賓館(知事室、貴賓室など)】土曜のみ 10:00～16:00  ※平日に迎賓館の見学を希望される場合は、10名以上の団体でお申し込み下さい。,日 / 祝日(土曜除く),http://web.pref.hyogo.lg.jp/ac01/ac01_000000026.html,,
南京町,,,'6500023,'2406,神戸市中央区元町通・栄町通1～2,34.688019,135.188048,078-332-2896,横浜中華街、長崎新地中華街とともに日本三大チャイナタウンの一つに数えられる「南京町」。中華食材、雑貨、料理など多彩な店舗が軒を連ねる人気の観光エリアです。1月または2月に春節祭、9月または10月に中秋節など一年を通して多彩なイベントも開催されているので要チェック。まるでテーマパークのような異国情緒あふれる街の散策をぜひ楽しんでください。,店により異なる,店により異なる,http://www.nankinmachi.or.jp,,
巨大アートギャラリー＆アトリエ　神戸波止場町 TEN×TEN,,,'6500042,'2408,神戸市中央区波止場町6-5,34.684039,135.184285,078-351-1335,巨大アートギャラリー＆アトリエ神戸波止場町TEN×TENは、みなと神戸の新たな文化交流拠点。様々なアートや制作シーンを観覧したり、ワークショップに参加したり、若者はもちろん、ゆっくり時を過ごしたい大人やシルバー世代にもおすすめです。館内は、ワンフロアに60ブース以上が並ぶ巨大空間、造形・彫金・ガラス絵・伝統組子・アクセサリー・刺繍・絵画・マンガなど多彩なジャンルの作家たちが、アトリエ創作やギャラリー展示、販売などを行っています。館内のだまし絵や黄金イラストが描かれた「壁面カフェ」で味わえる、一杯立ての本格コーヒー（￥200）や神戸ドーナツも好評です。,11:00～18:00（入館は17:30まで）,水(祝日の場合は翌日),http://tenten.chu.jp/,あり,
神戸海洋博物館・カワサキワールド,,こうべかいようはくぶつかん　かわさきわーるど,'6500042,'2408,神戸市中央区波止場町2-2,34.682914,135.188285,078-327-8983,大海原を駈ける帆船の帆と波をイメージした白いスペースフレームの大屋根が特徴的な「神戸海洋博物館」は「海から港から神戸が始まり、未来に船出する。」をコンセプトに「神戸開港120年記念事業」としてオープン。船の仕組みやクルーズ客船の魅力、港の施設や役割、古の時より時代とともに移り変わる港と街の様子を、航海計器や船具の「実物」や「ジオラマ模型」「映像」「グラフィック」などでわかりやすく紹介しています。 また「阪神淡路大震災」で崩れたメリケン波止場の一部を「神戸港震災メモリアルパーク」として保存。震災で得た教訓を後世に伝えています。2006年より、神戸港の開港以来、その歴史とともに歩んできた川崎重工業が企業博物館「カワサキワールド」を隣接展開。,10:00～17:00(但し、入館は16:30まで),月曜日　(月曜日が祝日の場合は開館翌日振替休館),http://www.kobe-maritime-museum.com/,,
神戸華僑歴史博物館,,こうべかきょうれきしはくぶつかん,'6500024,'2408,神戸市中央区海岸通3-1-1,34.685954,135.187173,078-331-3855,神戸華僑歴史博物館では、神戸の地域史を華僑華人の視点で紹介しています。神戸開港(1868年)以来、神戸にやってきた華僑に関する活動や文化を、記録写真や文献、書画、美術品、生活用具などの貴重な資料で展示。国際貿易都市・神戸の発展に大きな役割を果たした華僑たちの、一般ではあまり知ることのない世界を垣間見ることができます。,10:00 - 17:00,日・祝・月・火,,,
